Dispatching_base_num,Pickup_date,locationID
B00013,2015-01-01 00:30:00,
B00013,2015-01-01 01:22:00,
B00013,2015-01-01 01:23:00,
B00013,2015-01-01 01:44:00,
B00013,2015-02-01 00:00:00,
B00013,2015-02-01 00:01:00,
B00013,2015-02-01 00:21:00,
B00013,2015-02-01 01:00:00,
B00029,2015-03-01 00:02:00,213
B00029,2015-03-01 00:03:00,51
B00029,2015-03-01 00:11:00,3
B00029,2015-03-01 00:11:00,259
B00001,2015-04-01 04:30:00,
B00001,2015-04-01 06:00:00,
B00001,2015-04-01 06:00:00,
B00001,2015-04-01 06:00:00,
B00001,2015-05-01 04:30:00,
B00001,2015-05-01 05:00:00,
B00001,2015-05-01 05:05:00,
B00001,2015-05-01 06:15:00,
B00001,2015-06-01 04:30:00,
B00001,2015-06-01 04:30:00,
B00001,2015-06-01 04:30:00,
B00001,2015-06-01 04:50:00,
B00001,2015-07-01 04:45:00,
B00001,2015-07-01 05:00:00,
B00001,2015-07-01 06:00:00,
B00001,2015-07-01 06:15:00,
B00001,2015-08-01 05:50:00,
B00001,2015-08-01 06:30:00,
B00001,2015-08-01 07:00:00,
B00001,2015-08-01 07:30:00,
B00001,2015-09-01 04:45:00,
B00001,2015-09-01 05:00:00,
B00001,2015-09-01 05:15:00,
B00001,2015-09-01 05:50:00,
B00001,2015-10-01 05:15:00,
B00001,2015-10-01 05:30:00,
B00001,2015-10-01 05:30:00,
B00001,2015-10-01 05:45:00,
B00001,2015-11-01 05:15:00,
B00001,2015-11-01 05:15:00,
B00001,2015-11-01 05:30:00,
B00001,2015-11-01 06:00:00,
B00001,2015-12-01 04:30:00,
B00001,2015-12-01 04:30:00,
B00001,2015-12-01 04:45:00,
B00001,2015-12-01 05:15:00,
B00001,2016-01-01 00:30:00,
B00001,2016-01-01 00:30:00,
B00001,2016-01-01 02:30:00,
B00001,2016-01-01 07:00:00,
B00001,2016-02-01 04:45:00,
B00001,2016-02-01 05:00:00,
B00001,2016-02-01 05:30:00,
B00001,2016-02-01 05:45:00,
B00008,2016-03-01 00:30:00,
B00008,2016-03-01 00:30:00,
B00008,2016-03-01 01:10:00,
B00008,2016-03-01 01:50:00,
B00001,2016-04-01 05:00:00,
B00001,2016-04-01 05:30:00,
B00001,2016-04-01 06:15:00,
B00001,2016-04-01 06:30:00,
B00001,2016-05-01 05:30:00,
B00001,2016-05-01 07:00:00,
B00001,2016-05-01 07:12:00,
B00001,2016-05-01 07:30:00,
B00008,2016-06-01 01:01:00,
B00008,2016-06-01 01:01:00,
B00008,2016-06-01 01:03:00,
B00008,2016-06-01 01:04:00,
B00008,2016-07-01 00:00:00,
B00008,2016-07-01 01:10:00,
B00008,2016-07-01 01:50:00,
B00008,2016-07-01 02:00:00,
B00008,2016-08-01 00:00:00,
B00008,2016-08-01 00:00:00,
B00008,2016-08-01 00:10:00,
B00008,2016-08-01 00:50:00,
B00001,2016-09-01 05:15:00,
B00001,2016-09-01 05:15:00,
B00001,2016-09-01 06:15:00,
B00001,2016-09-01 07:00:00,
B00001,2016-10-01 05:15:00,
B00001,2016-10-01 06:00:00,
B00001,2016-10-01 08:45:00,
B00001,2016-10-01 08:45:00,
B00008,2016-11-01 00:00:00,
B00008,2016-11-01 00:10:00,
B00008,2016-11-01 00:20:00,
B00008,2016-11-01 00:30:00,
B00008,2016-12-01 00:50:00,
B00008,2016-12-01 01:00:00,
B00008,2016-12-01 02:50:00,
B00008,2016-12-01 03:40:00,
B00001,2017-01-01 00:30:00,
B00001,2017-01-01 00:30:00,
B00008,2017-01-01 00:50:00,
B00009,2017-01-01 00:10:00,
B00008,2017-02-01 00:30:00,
B00008,2017-02-01 00:40:00,
B00009,2017-02-01 00:30:00,
B00013,2017-02-01 00:11:00,
B00008,2017-03-01 00:30:00,
B00008,2017-03-01 00:30:00,
B00009,2017-03-01 00:50:00,
B00013,2017-03-01 00:04:00,
B00008,2017-04-01 00:40:00,
B00008,2017-04-01 00:00:00,
B00008,2017-04-01 00:40:00,
B00008,2017-04-01 00:50:00,
B00001,2017-05-01 00:43:00,
B00014,2017-05-01 00:00:00,
B00014,2017-05-01 00:54:00,
B00021,2017-05-01 00:14:00,
B00001,2017-06-01 00:04:00,2017-06-07 01:55:36
B00001,2017-06-01 00:47:00,2017-06-09 01:25:40
B00001,2017-06-01 00:07:00,2017-06-15 00:52:17
